文本,分类,情感,编号
李佳琦争气很好很优秀，衣服也更符合大家的眼光。,主播品质,positive,1
说什么比李佳琦好，李佳琦直播间时尚沙漠，李佳琦老头眼光。,选品,positive,2
人家都说了，李佳琦直播间没办法上网红店衣服，只能选质量好一点的舒服的。,服饰类质量,positive,3
李佳琦直播间的产品选品就这？,选品,negative,4
咱好歹是钻粉5，买的东西也不少，太失望了，品控太差了,选品,negative,5
李佳琦直播间现在选品是真的有问题啊，以前生活品都闭眼买质量绝对没问题、现在真的是.,选品,negative,6
他怎么能做到闭眼吹这个品好的？？,主播信任度,negative,7
我之前真的是随便点进去就选几样现在这种信任渐渐崩塌了我已经开始害怕,主播信任度,negative,8
几次一来我也关注了哦对再加一句话，老李头你给我遵纪守法啊，该税就税，别再玩消失了,主播支持度,negative,9
李佳琦直播哈哈哈看大家的评论好有意思：我可以不看，你必须播；我可以不买，你必须卖真的，如果能一直保证,主播支持度,positive,10
价格优势的同时，又能保证质量，为啥不在他那买呢何况直播间还那么欢乐,性价比,positive,11
有时候问问朋友意见，她们总是说去李佳琦那里买呀，我说我不看的呀，她们就很积极地说我来帮你看，上架了告诉你。,主播支持度,negative,12
易用性洁成的质量很好，食品接触级的东西大品牌的放心，东西很实用，尤其到了夏天，没用完的蔬菜啥的套一下放在冰箱里更卫生，或者洗点水果带着去上班，很方便。,食品质量,positive,13
所有女生体验官所有女生会员服务中心洁成到手一共是三百二十只，没想到居然还送了一包小的，谢谢李佳琦直播间,赠品,positive,14
李佳琦别的都不说，时尚服饰类的选品团队能不能换一批人啊！,选品,negative,15
找点审美在线的行不行啊！,选品,negative,16
挚爱粉是纯纯买老李头的美妆达成的。,选品,positive,17
最近食品类监管选品也越来越差了，双十一购入的黑枸杞就有严重的变质问题。,食品质量,negative,18
李佳琦Aveda的梳子，到手以后特别特别轻轻的离谱。,日用品质量,positive,19
小红书上有姐妹又在官方旗舰店又下了一单，发现和直播间到手的完全不一样重量上轻了很多而且还有标签。,日用品质量,negative,20
所以我想知道，明显在直播间买的和他们店铺平时卖的质量不一样被恶心到了。,日用品质量,negative,21
一把梳子195本身就不便宜利润很大，还搞区别对待这一出给个说法吧李佳琦直播官方微博Aveda艾梵达,价格,negative,22
李佳琦想问一下直播间购买的物品出现质量问题，因为遗失商品包装盒商家拒绝退款，应该怎么维权呀？,退款,negative,23
玛戈隆特骨瓷家这已经是换过货的商品了，作为餐具连放平都做不到呢李佳琦直播间的消费者是不是清仓的大怨种？,日用品质量,negative,24
在李佳琦直播间种草了周大生珠宝，买回家后看到实物简直是喜欢的不得了，单位同事姐妹都在管我要链接哈哈。,选品,positive,25
我是把很火的蝴蝶结吊坠和珍珠手链做了一个结合，整体风格非常搭配，而且戴手上超级漂亮，蝴蝶结是足金的哦,饰品质量,positive,26
周大生质量也超好，喜欢的姐妹们快冲！,饰品质量,negative,27
在李佳琦新开的直播间买了一件睡衣，疯狂掉毛掉色，这种质量到底是怎么通过选品的，第一次买就踩雷真的栓Q,服饰类质量,negative,28
佳琦直播间退货也麻烦还浪费钱。,退货,negative,29
比如我原来在李佳琦直播间买的很少，反而现在多了点，因为有了对比，就觉得还是他靠谱点。,主播信任度,positive,30
李佳琦直播间买的ubras的睡衣质量真的不错很瓷实软软的比上次买的其他家的好太多了,服饰类质量,positive,31
李佳琦直播间“卖贵”事件：资生堂疑对异常订单免费赠引不满,价格,negative,32
李佳琦直播间化妆品比资生堂旗舰店直播间卖得贵一事仍未了结。,价格,negative,33
对此，不少李佳琦直播间消费者发文，要求资生堂和李佳琦方面给出进一步回应和解决方案。,售后,negative,34
还有消费者要求补差价或退款。,退款,negative,35
资生堂疑对异常订单免费赠引不满央视曝光双十一新骗术O双十一维权,售后,negative,36
李佳琦直播间“卖贵”事件：资生堂疑对异常订单免费赠引不满,价格,negative,37
卖的一款悦薇水乳套装只需888元，比李佳琦直播间的同款商品到手价便宜300多元。,价格,positive,38
李佳琦方面也称，“品牌将为异常订单统一退款处理。,退款,negative,39
接到生堂客服的电话，对方要求直接取消该订单，但作为补偿，承诺所拍的套装将全部赠予。,售后,negative,40
这进一步引发李佳琦直播间消费者的不满——她们以较高的“正常”价格购买了商品，而以较低的“异常”价格购,价格,negative,41
李佳琦在佳琦直播间买的穗康玉米是馊掉变质的，请问姐妹们维权要怎么找佳琦那边客服啊？,食品质量,negative,42
我还准备问他是要直接赔钱给我吗,售后,negative,43
还是李佳琦的推荐放心安心！,主播信任度,positive,44
不可能是商家给的直播间东西和发出来的货不一样吧！,选品,negative,45
好歹坐拥几千万粉丝的大主播，质量把控这么差？,选品,negative,46
天猫客服说不是真的。,售后,negative,47
希望能尽快出官方说明，给一个合理解释。搞得人心里毛毛的，产品都不敢用了。,售后,negative,48
绿豆糕好吃，笋小样，昨晚开了一包，一点点辣，蛮开胃的,食品质量,positive,49
满小饱米线质量没话说,食品质量,positive,50
花甲粉（看到佳琦吃就买了）,主播信任度,positive,51
拉面说好吃,食品质量,positive,52
元气森林气泡水，昨晚混着烧酒喝，发现新大陆,饮品质量,positive,53
Chicdale睡衣，男版女版都买了，摸上手质量不错，要试穿了才知道,服饰类质量,negative,54
哈哈哈，嗯，真香李佳琦,主播支持度,positive,55
结果拿到手发现这个蓝牙功能实在是太差劲了！,电器质量,negative,56
踩雷踩雷，国货正当潮那一天在李佳琦直播间买了个蓝牙音响，说实话就是冲着颜值去的，但是对于质量音质方面也有点小期待，毕竟在这个专场里感觉就有保证。,电器质量,positive,57
我：你好，我想改一下配送时间，明天帮我送吧。,物流,negative,58
客服：那我帮你问一下快递站有没有冰箱吧？,售后,positive,59
李佳琦直播间花了80买的，就这个质量？选品无限差评！,选品,negative,60
第一次购物失败的体验！,选品,negative,61
吐槽一下，crocs家的鞋你家赚钱也不是这么个赚法啊，这样子的东西放地摊上一块钱四个我都不会买好吧，实物与卖家秀严重不符！,服饰类质量,negative,62
李佳琦买了40个玉米，好吃！,食品质量,positive,63
