Building prefix dict from the default dictionary ...
Dumping model to file cache /tmp/jieba.cache
Loading model cost 0.608 seconds.
Prefix dict has been built successfully.
Using device: cuda
IN: TextClassificationModel_CNN_MHA
Test Loss: 3.8629, Train Loss: 4.3759, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1079
Test Loss: 3.8529, Train Loss: 3.9306, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1079
Test Loss: 3.8250, Train Loss: 3.8909, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1249
Test Loss: 3.7853, Train Loss: 3.8684, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1079
Test Loss: 3.7583, Train Loss: 3.8063, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1079
Test Loss: 3.7214, Train Loss: 3.7292, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1079
Test Loss: 3.6904, Train Loss: 3.6437, Test Emotion Accuracy: 0.7111, Test Feature Accuracy: 0.1391
Test Loss: 3.5887, Train Loss: 3.5344, Test Emotion Accuracy: 0.7161, Test Feature Accuracy: 0.1789
Test Loss: 3.5300, Train Loss: 3.3685, Test Emotion Accuracy: 0.7615, Test Feature Accuracy: 0.1852
Test Loss: 3.5386, Train Loss: 3.2574, Test Emotion Accuracy: 0.7828, Test Feature Accuracy: 0.1845
Test Loss: 3.3680, Train Loss: 3.1797, Test Emotion Accuracy: 0.7779, Test Feature Accuracy: 0.2023
Test Loss: 3.3492, Train Loss: 3.0993, Test Emotion Accuracy: 0.7850, Test Feature Accuracy: 0.2321
Test Loss: 3.1874, Train Loss: 3.0180, Test Emotion Accuracy: 0.7956, Test Feature Accuracy: 0.2697
Test Loss: 3.1983, Train Loss: 2.9014, Test Emotion Accuracy: 0.7928, Test Feature Accuracy: 0.2661
Test Loss: 3.1462, Train Loss: 2.8651, Test Emotion Accuracy: 0.7970, Test Feature Accuracy: 0.3286
Test Loss: 3.0693, Train Loss: 2.7680, Test Emotion Accuracy: 0.8048, Test Feature Accuracy: 0.3400
Test Loss: 2.9927, Train Loss: 2.7418, Test Emotion Accuracy: 0.7906, Test Feature Accuracy: 0.3634
Test Loss: 3.0128, Train Loss: 2.6574, Test Emotion Accuracy: 0.8055, Test Feature Accuracy: 0.3683
Test Loss: 2.9175, Train Loss: 2.5833, Test Emotion Accuracy: 0.8048, Test Feature Accuracy: 0.3847
Test Loss: 2.9033, Train Loss: 2.5484, Test Emotion Accuracy: 0.8098, Test Feature Accuracy: 0.3953
Test Loss: 2.8995, Train Loss: 2.5169, Test Emotion Accuracy: 0.8084, Test Feature Accuracy: 0.4024
Test Loss: 2.8556, Train Loss: 2.5098, Test Emotion Accuracy: 0.8027, Test Feature Accuracy: 0.4344
Test Loss: 2.7720, Train Loss: 2.3921, Test Emotion Accuracy: 0.8077, Test Feature Accuracy: 0.4521
Test Loss: 2.8649, Train Loss: 2.3911, Test Emotion Accuracy: 0.8105, Test Feature Accuracy: 0.4500
Test Loss: 2.8758, Train Loss: 2.3105, Test Emotion Accuracy: 0.7885, Test Feature Accuracy: 0.4556
Test Loss: 2.7658, Train Loss: 2.2305, Test Emotion Accuracy: 0.8091, Test Feature Accuracy: 0.4698
Test Loss: 2.7871, Train Loss: 2.2243, Test Emotion Accuracy: 0.7942, Test Feature Accuracy: 0.4649
Test Loss: 2.6947, Train Loss: 2.1675, Test Emotion Accuracy: 0.8062, Test Feature Accuracy: 0.4918
Test Loss: 2.7305, Train Loss: 2.1473, Test Emotion Accuracy: 0.8133, Test Feature Accuracy: 0.4862
Test Loss: 2.7733, Train Loss: 2.1308, Test Emotion Accuracy: 0.8133, Test Feature Accuracy: 0.4833
Test Loss: 2.7371, Train Loss: 2.0559, Test Emotion Accuracy: 0.8070, Test Feature Accuracy: 0.4890
Test Loss: 2.6408, Train Loss: 2.0296, Test Emotion Accuracy: 0.8169, Test Feature Accuracy: 0.5060
Test Loss: 2.7324, Train Loss: 1.9844, Test Emotion Accuracy: 0.8162, Test Feature Accuracy: 0.5117
Test Loss: 2.6885, Train Loss: 1.8679, Test Emotion Accuracy: 0.8041, Test Feature Accuracy: 0.5089
Test Loss: 2.6783, Train Loss: 1.9492, Test Emotion Accuracy: 0.8190, Test Feature Accuracy: 0.5082
Test Loss: 2.7588, Train Loss: 1.8864, Test Emotion Accuracy: 0.8169, Test Feature Accuracy: 0.5117
Test Loss: 2.7089, Train Loss: 1.8552, Test Emotion Accuracy: 0.8211, Test Feature Accuracy: 0.5231
Test Loss: 2.7589, Train Loss: 1.8383, Test Emotion Accuracy: 0.8183, Test Feature Accuracy: 0.5259
